n_cal,alpha,lower_bound,coverage_mean,se_trial,se_test,ci_lo,ci_hi,upper_bound,in_bounds,beta_a,beta_b,beta_mean,ks_pvalue,width_mean
20,0.05,0.95,0.95194472,0.0014800760611767454,0.0006763576721241626,0.9487552243109931,0.9551342156890068,0.9976190476190476,True,20,1,0.9523809523809523,0.8754545230096684,2.820673254723192
20,0.1,0.9,0.9029159600000001,0.0019468636749004915,0.0009362624054039462,0.898681785894847,0.9071501341051531,0.9476190476190476,True,19,2,0.9047619047619048,0.24834145384985018,2.318896911797974
20,0.2,0.8,0.80866285,0.0025864038163981623,0.0012438940671531378,0.8030376987776533,0.8142880012223468,0.8476190476190477,True,17,4,0.8095238095238095,0.7518018286322831,1.8210693989906646
50,0.05,0.95,0.96097368,0.0008687980055410073,0.0006123991047287508,0.958890316498886,0.9630570435011141,0.9696078431372549,True,49,2,0.9607843137254902,0.714717461206748,2.8095133479742818
50,0.1,0.9,0.90220354,0.0013136538030937917,0.0009393205651505155,0.8990382708078251,0.905368809192175,0.919607843137255,True,46,5,0.9019607843137255,0.401886596305456,2.254001388786265
50,0.2,0.8,0.80234366,0.0017252365646508911,0.0012593185111710397,0.7981571787693483,0.8065301412306517,0.819607843137255,True,41,10,0.803921568627451,0.3044716191018073,1.7668593426491184
100,0.05,0.95,0.950754,0.0006816768124827752,0.0006842574916213925,0.9488609082594944,0.9526470917405055,0.9599009900990099,True,96,5,0.9504950495049505,0.7608459290910086,2.631918826035275
100,0.1,0.9,0.90102645,0.0009379119292793884,0.0009443399091449935,0.8984177668320354,0.9036351331679646,0.9099009900990099,True,91,10,0.900990099009901,0.5701310242718993,2.225048744839633
100,0.2,0.8,0.80252081,0.0012725487957172335,0.001258893003860709,0.7990123596137708,0.8060292603862291,0.80990099009901,True,81,20,0.801980198019802,0.5472917865078444,1.7581836440472474
500,0.05,0.95,0.9503828,0.000309457528138712,0.0006866974112675831,0.9489065188188867,0.9518590811811133,0.9519960079840319,True,476,25,0.9500998003992016,0.3298382223979962,2.592323752634342
500,0.1,0.9,0.89961996,0.00042774546939153545,0.0009502835764633545,0.8975774132937387,0.9016625067062612,0.901996007984032,True,451,50,0.9001996007984032,0.12380744896546492,2.200985945639868
500,0.2,0.8,0.7997971399999999,0.0005597209985489348,0.0012653919347293961,0.7970851739436895,0.8025091060563103,0.801996007984032,True,401,100,0.8003992015968064,0.49887612967676387,1.7397614048433754
2000,0.05,0.95,0.95055989,0.00015524464044303201,0.0006855347221198058,0.9491822194632243,0.9519375605367756,0.9504997501249375,True,1901,100,0.9500249875062469,0.00017170298185521533,2.587639362047907
2000,0.1,0.9,0.8994105600000001,0.00020924904838648766,0.0009511635220112593,0.8975016998999977,0.9013194201000024,0.9004997501249375,True,1801,200,0.9000499750124937,0.0009587689480558178,2.1967149663457795
2000,0.2,0.8,0.80002867,0.00027797884122225425,0.0012648430621149452,0.7974904130865156,0.8025669269134844,0.8004997501249376,True,1601,400,0.8000999500249875,0.8146140905691965,1.7392116620646674
