case,trial,coverage
correct,0,0.91113875
offbyone,0,0.91083975
small_test,0,0.9155
correct,1,0.89891425
offbyone,1,0.89882475
small_test,1,0.91
correct,2,0.9083465
offbyone,2,0.906795
small_test,2,0.909
correct,3,0.88655175
offbyone,3,0.88568025
small_test,3,0.872
correct,4,0.9025795
offbyone,4,0.90138075
small_test,4,0.8965
correct,5,0.90697725
offbyone,5,0.906374
small_test,5,0.9095
correct,6,0.897113
offbyone,6,0.89580075
small_test,6,0.8825
correct,7,0.910395
offbyone,7,0.909908
small_test,7,0.9075
correct,8,0.90521925
offbyone,8,0.9046175
small_test,8,0.91
correct,9,0.898725
offbyone,9,0.8985215
small_test,9,0.9005
correct,10,0.8941295
offbyone,10,0.89179725
small_test,10,0.9
correct,11,0.90278725
offbyone,11,0.90264725
small_test,11,0.909
correct,12,0.9064565
offbyone,12,0.90633375
small_test,12,0.898
correct,13,0.88799175
offbyone,13,0.8879845
small_test,13,0.89
correct,14,0.90651025
offbyone,14,0.90594125
small_test,14,0.8995
correct,15,0.92494525
offbyone,15,0.924879
small_test,15,0.919
correct,16,0.918503
offbyone,16,0.918203
small_test,16,0.9265
correct,17,0.90901075
offbyone,17,0.908903
small_test,17,0.9135
correct,18,0.9055915
offbyone,18,0.9054155
small_test,18,0.907
correct,19,0.90295375
offbyone,19,0.90101975
small_test,19,0.91
correct,20,0.9060815
offbyone,20,0.904679
small_test,20,0.91
correct,21,0.891995
offbyone,21,0.89182825
small_test,21,0.8895
correct,22,0.9010235
offbyone,22,0.89707825
small_test,22,0.899
correct,23,0.90479975
offbyone,23,0.904435
small_test,23,0.905
correct,24,0.89997725
offbyone,24,0.899763
small_test,24,0.908
correct,25,0.8985915
offbyone,25,0.89802975
small_test,25,0.899
correct,26,0.90591225
offbyone,26,0.90515425
small_test,26,0.9215
correct,27,0.90525475
offbyone,27,0.9051065
small_test,27,0.911
correct,28,0.873264
offbyone,28,0.8713215
small_test,28,0.8845
correct,29,0.8988895
offbyone,29,0.89765425
small_test,29,0.8855
correct,30,0.9032325
offbyone,30,0.90270975
small_test,30,0.8935
correct,31,0.91060725
offbyone,31,0.90873575
small_test,31,0.904
correct,32,0.912429
offbyone,32,0.91121375
small_test,32,0.9265
correct,33,0.8972695
offbyone,33,0.8967695
small_test,33,0.902
correct,34,0.913051
offbyone,34,0.91151
small_test,34,0.9155
correct,35,0.914758
offbyone,35,0.91422975
small_test,35,0.916
correct,36,0.8909825
offbyone,36,0.88884725
small_test,36,0.8925
correct,37,0.89008075
offbyone,37,0.88890525
small_test,37,0.8935
correct,38,0.88731375
offbyone,38,0.88660875
small_test,38,0.88
correct,39,0.90935025
offbyone,39,0.90773825
small_test,39,0.9045
correct,40,0.902954
offbyone,40,0.90247575
small_test,40,0.8945
correct,41,0.90966225
offbyone,41,0.90956675
small_test,41,0.909
correct,42,0.899601
offbyone,42,0.89883375
small_test,42,0.9015
correct,43,0.88980475
offbyone,43,0.88960825
small_test,43,0.8835
correct,44,0.9035795
offbyone,44,0.902328
small_test,44,0.8975
correct,45,0.91672875
offbyone,45,0.9161335
small_test,45,0.914
correct,46,0.8990435
offbyone,46,0.898896
small_test,46,0.8945
correct,47,0.8993175
offbyone,47,0.896778
small_test,47,0.914
correct,48,0.90991075
offbyone,48,0.9085875
small_test,48,0.913
correct,49,0.88279825
offbyone,49,0.882642
small_test,49,0.8865
correct,50,0.896081
offbyone,50,0.8952885
small_test,50,0.8875
correct,51,0.891504
offbyone,51,0.8895095
small_test,51,0.8985
correct,52,0.908221
offbyone,52,0.90599025
small_test,52,0.9005
correct,53,0.90115475
offbyone,53,0.90088925
small_test,53,0.9065
correct,54,0.91388175
offbyone,54,0.9120105
small_test,54,0.911
correct,55,0.9011305
offbyone,55,0.9000215
small_test,55,0.909
correct,56,0.89281375
offbyone,56,0.8920935
small_test,56,0.891
correct,57,0.8989055
offbyone,57,0.8982115
small_test,57,0.888
correct,58,0.87069625
offbyone,58,0.86949775
small_test,58,0.866
correct,59,0.89591225
offbyone,59,0.89565275
small_test,59,0.8865
correct,60,0.903732
offbyone,60,0.90348375
small_test,60,0.8995
correct,61,0.899173
offbyone,61,0.89789275
small_test,61,0.892
correct,62,0.89759225
offbyone,62,0.8960675
small_test,62,0.899
correct,63,0.90648525
offbyone,63,0.905686
small_test,63,0.918
correct,64,0.892329
offbyone,64,0.89170375
small_test,64,0.899
correct,65,0.90002475
offbyone,65,0.89946775
small_test,65,0.9
correct,66,0.911098
offbyone,66,0.9096435
small_test,66,0.911
correct,67,0.9084915
offbyone,67,0.9080895
small_test,67,0.912
correct,68,0.88844325
offbyone,68,0.886326
small_test,68,0.8965
correct,69,0.9066715
offbyone,69,0.906618
small_test,69,0.91
correct,70,0.913008
offbyone,70,0.912554
small_test,70,0.9185
correct,71,0.90762075
offbyone,71,0.90738125
small_test,71,0.905
correct,72,0.90091325
offbyone,72,0.8981865
small_test,72,0.9015
correct,73,0.904776
offbyone,73,0.90335025
small_test,73,0.9065
correct,74,0.8861845
offbyone,74,0.8857395
small_test,74,0.888
correct,75,0.90216225
offbyone,75,0.902133
small_test,75,0.903
correct,76,0.9039445
offbyone,76,0.90304375
small_test,76,0.906
correct,77,0.899913
offbyone,77,0.89974825
small_test,77,0.904
correct,78,0.9037895
offbyone,78,0.903223
small_test,78,0.911
correct,79,0.91612575
offbyone,79,0.91432875
small_test,79,0.915
correct,80,0.8990965
offbyone,80,0.899067
small_test,80,0.8955
correct,81,0.89399725
offbyone,81,0.89058975
small_test,81,0.8955
correct,82,0.9125015
offbyone,82,0.9124795
small_test,82,0.901
correct,83,0.894602
offbyone,83,0.89453475
small_test,83,0.893
correct,84,0.90672975
offbyone,84,0.90619225
small_test,84,0.897
correct,85,0.89569
offbyone,85,0.89529275
small_test,85,0.9065
correct,86,0.90748
offbyone,86,0.90710375
small_test,86,0.917
correct,87,0.902303
offbyone,87,0.9000545
small_test,87,0.8995
correct,88,0.90676525
offbyone,88,0.90644025
small_test,88,0.9115
correct,89,0.89722625
offbyone,89,0.89697575
small_test,89,0.9
correct,90,0.9110165
offbyone,90,0.91041925
small_test,90,0.904
correct,91,0.8986635
offbyone,91,0.89696375
small_test,91,0.9015
correct,92,0.90702425
offbyone,92,0.90675575
small_test,92,0.9105
correct,93,0.89321625
offbyone,93,0.8930295
small_test,93,0.896
correct,94,0.908653
offbyone,94,0.90683725
small_test,94,0.906
correct,95,0.9039655
offbyone,95,0.90340625
small_test,95,0.898
correct,96,0.9174075
offbyone,96,0.91729975
small_test,96,0.913
correct,97,0.89456225
offbyone,97,0.89392775
small_test,97,0.8995
correct,98,0.885552
offbyone,98,0.8855205
small_test,98,0.8805
correct,99,0.910427
offbyone,99,0.91011875
small_test,99,0.901
correct,100,0.88821175
offbyone,100,0.8876425
small_test,100,0.893
correct,101,0.91355875
offbyone,101,0.91238525
small_test,101,0.9135
correct,102,0.90933175
offbyone,102,0.90440675
small_test,102,0.914
correct,103,0.89877375
offbyone,103,0.89804425
small_test,103,0.8905
correct,104,0.89333375
offbyone,104,0.891871
small_test,104,0.8945
correct,105,0.8958775
offbyone,105,0.893667
small_test,105,0.9025
correct,106,0.88287575
offbyone,106,0.8825335
small_test,106,0.8795
correct,107,0.90158
offbyone,107,0.8998305
small_test,107,0.901
correct,108,0.89691725
offbyone,108,0.89668
small_test,108,0.893
correct,109,0.88997975
offbyone,109,0.8895415
small_test,109,0.8865
correct,110,0.90726825
