model,trial,coverage,width
constant,0,0.89994,2.9518458493216517
ridge,0,0.901935,2.2044018540325294
rf,0,0.895535,1.7569987338750834
gbm,0,0.884295,1.6885519807355849
mlp,0,0.884385,1.7584776501269714
constant,1,0.909175,3.020359867520501
ridge,1,0.91404,2.2833830318940427
rf,1,0.901935,1.790769725437353
gbm,1,0.918875,1.8733333536773369
mlp,1,0.895185,1.8131243750638608
constant,2,0.91131,3.03707368077614
ridge,2,0.91095,2.2623451580976752
rf,2,0.931875,1.9722727125418735
gbm,2,0.937405,1.9989414341353446
mlp,2,0.91777,1.9446959502067833
constant,3,0.911235,3.0363988309957577
ridge,3,0.89453,2.1599689625739877
rf,3,0.91179,1.8468441224230228
gbm,3,0.901045,1.7714425861884178
mlp,3,0.8977,1.8267109470576517
constant,4,0.89747,2.9337987615340406
ridge,4,0.892805,2.149651552141437
rf,4,0.882075,1.6925318332320156
gbm,4,0.882435,1.6793416601550144
mlp,4,0.88779,1.774952938323547
constant,5,0.894205,2.9121255379517264
ridge,5,0.89525,2.1635980531009
rf,5,0.898325,1.7709046240892778
gbm,5,0.89179,1.7253899254799754
mlp,5,0.905635,1.8712605315088018
constant,6,0.932545,3.2153658898702453
ridge,6,0.905655,2.226971573674646
rf,6,0.89198,1.7399234903140997
gbm,6,0.89866,1.7600111429920693
mlp,6,0.901945,1.8508083607143695
constant,7,0.877075,2.803276067675549
ridge,7,0.900515,2.195862929899496
rf,7,0.896185,1.7603869676821262
gbm,7,0.8801,1.6689187364822995
mlp,7,0.899135,1.835260747687668
constant,8,0.905475,2.99076124775835
ridge,8,0.90299,2.2103877347445655
rf,8,0.90827,1.8265549957732323
gbm,8,0.914775,1.847955682842319
mlp,8,0.92271,1.9774522865611872
constant,9,0.86997,2.761700662357062
ridge,9,0.89904,2.1864129367143956
rf,9,0.89608,1.7598240167729393
gbm,9,0.89885,1.7607671691098945
mlp,9,0.88111,1.7416390464012255
constant,10,0.903465,2.9771732331578473
ridge,10,0.90221,2.2059462653197888
rf,10,0.89939,1.77682345951967
gbm,10,0.918195,1.8688446955887872
mlp,10,0.925555,1.9968798049009444
constant,11,0.910265,3.028787684576476
ridge,11,0.88682,2.1156784799574777
rf,11,0.91062,1.8397544581640353
gbm,11,0.89355,1.7341129143262266
mlp,11,0.89874,1.833243147275548
constant,12,0.899815,2.950905925576462
ridge,12,0.919855,2.3233136278724036
rf,12,0.92094,1.9000199079553357
gbm,12,0.919855,1.8790805612881565
mlp,12,0.929935,2.028636813784134
constant,13,0.91784,3.0900073179979293
ridge,13,0.90788,2.241763962220536
rf,13,0.90081,1.7845875867982364
gbm,13,0.90837,1.8116136918609858
mlp,13,0.89595,1.817031611532613
constant,14,0.91043,3.030097829103476
ridge,14,0.90904,2.2491574166698003
rf,14,0.90312,1.7976705229339125
gbm,14,0.90006,1.7667943100324972
mlp,14,0.9067,1.8775064056666655
constant,15,0.89415,2.9118026374106303
ridge,15,0.913095,2.276804978565255
rf,15,0.91334,1.8557856666379084
gbm,15,0.90199,1.7765555102606856
mlp,15,0.89825,1.830110814778013
constant,16,0.893535,2.9074925283197555
ridge,16,0.864095,1.9987313223545744
rf,16,0.87172,1.6467667522235288
gbm,16,0.875245,1.6469203160980546
mlp,16,0.88324,1.7525024182609992
constant,17,0.89839,2.940146716608825
ridge,17,0.8927,2.1489644100203185
rf,17,0.915995,1.870654826303571
gbm,17,0.91204,1.8320644068080592
mlp,17,0.918285,1.9478547684255774
constant,18,0.894825,2.916017981847063
ridge,18,0.896205,2.1690941505533443
rf,18,0.89595,1.7592690532920117
gbm,18,0.89235,1.728098207391211
mlp,18,0.903975,1.862037476499336
constant,19,0.87639,2.7990130248774916
ridge,19,0.90573,2.2274694918808047
rf,19,0.88756,1.7175863309330361
gbm,19,0.90276,1.780474142018431
mlp,19,0.8802,1.7374230486521105
constant,20,0.90399,2.980922471273784
ridge,20,0.8964,2.170562825021743
rf,20,0.875095,1.6611385416913902
gbm,20,0.891365,1.723025579134677
mlp,20,0.891465,1.7935335933598553
constant,21,0.88685,2.8635323237485775
ridge,21,0.911625,2.2663780032637795
rf,21,0.91513,1.8660557084520226
gbm,21,0.89375,1.7349717863927203
mlp,21,0.89282,1.800620587203476
constant,22,0.90701,3.002958625724948
ridge,22,0.91603,2.2967685789399592
rf,22,0.885995,1.7104219838868617
gbm,22,0.896395,1.7485993182308168
mlp,22,0.90952,1.8942288527635962
constant,23,0.895515,2.9209054718706007
ridge,23,0.89745,2.1767880799205805
rf,23,0.90078,1.7843750730715318
gbm,23,0.89339,1.733137723525844
mlp,23,0.902455,1.8537640512646034
constant,24,0.89186,2.8957026421133967
ridge,24,0.89786,2.1793141108166227
rf,24,0.894315,1.7509409525489845
gbm,24,0.881855,1.6760926089855817
mlp,24,0.90546,1.8701377282015117
constant,25,0.89697,2.930252927620538
ridge,25,0.90687,2.234907882954853
rf,25,0.91683,1.8761211202952315
gbm,25,0.9033,1.783132041003125
mlp,25,0.91185,1.9080663271601417
constant,26,0.90186,2.965508983088018
ridge,26,0.906815,2.2345221974185585
rf,26,0.88828,1.7208947556102767
gbm,26,0.88617,1.698329992404553
mlp,26,0.88677,1.7703961176703724
constant,27,0.859435,2.7024653091880513
ridge,27,0.88681,2.1156076912445223
rf,27,0.880905,1.687227728581996
gbm,27,0.894515,1.7392370257685354
mlp,27,0.897485,1.8256127751246596
constant,28,0.90806,3.0110016422401014
ridge,28,0.901455,2.2018339312002064
rf,28,0.904475,1.804953316804737
gbm,28,0.90495,1.7922565279859541
mlp,28,0.907525,1.8820739134502251
constant,29,0.889185,2.87897845751308
ridge,29,0.916045,2.296900478676357
rf,29,0.893285,1.7458572328198723
gbm,29,0.890575,1.7189621606470804
mlp,29,0.89606,1.8175852900168696
constant,30,0.90612,2.9963402500779113
ridge,30,0.92848,2.387705901906747
rf,30,0.915505,1.8681242511307445
gbm,30,0.916175,1.8566418420812338
mlp,30,0.929925,2.028531467307399
constant,31,0.925465,3.1508749931644298
ridge,31,0.90359,2.214041963308965
rf,31,0.88362,1.699291088361119
gbm,31,0.89349,1.733617605686112
mlp,31,0.91325,1.9173598917192467
constant,32,0.898125,2.938437143334533
ridge,32,0.913095,2.276800550951541
rf,32,0.9144,1.861703933589674
gbm,32,0.90742,1.80700865212674
mlp,32,0.889745,1.7844625686475872
constant,33,0.919425,3.1030022919135387
ridge,33,0.905835,2.2280864960557203
rf,33,0.880835,1.6868916371293512
gbm,33,0.872315,1.6353788081104401
mlp,33,0.90579,1.8720151948087103
constant,34,0.904305,2.9826757638853527
ridge,34,0.90245,2.2071191256538047
rf,34,0.88995,1.7296410386922336
gbm,34,0.900975,1.7710983750511675
mlp,34,0.884715,1.760082115354173
constant,35,0.888225,2.872081546129645
ridge,35,0.879195,2.0746163158301556
rf,35,0.892665,1.7430760204390892
gbm,35,0.90655,1.8018586742715559
mlp,35,0.91056,1.9004996928055895
constant,36,0.89558,2.9214599150751823
ridge,36,0.90898,2.2487765272865015
rf,36,0.8948,1.7534986870241798
gbm,36,0.887855,1.705751579062442
mlp,36,0.898085,1.8290477088275547
constant,37,0.916185,3.0747170180865844
ridge,37,0.907225,2.2375414281218466
rf,37,0.905785,1.8120992946739791
gbm,37,0.90962,1.8181914749734285
mlp,37,0.90518,1.8687481281148477
constant,38,0.894925,2.9165798931476266
ridge,38,0.89675,2.17263642548628
rf,38,0.901925,1.790698124850539
gbm,38,0.894765,1.7401611014905056
mlp,38,0.88505,1.7619626982925969
constant,39,0.921805,3.1211607242401618
ridge,39,0.897525,2.177191676726059
rf,39,0.90148,1.787898528875372
gbm,39,0.90434,1.7884487451181963
mlp,39,0.90534,1.8696839297740802
constant,40,0.896965,2.930153346144087
ridge,40,0.892595,2.148439655611483
rf,40,0.885955,1.7101018025361647
gbm,40,0.89155,1.7240219845136895
mlp,40,0.886765,1.7703743817689408
constant,41,0.889945,2.883923613596601
ridge,41,0.90752,2.2393591900370846
rf,41,0.900805,1.784546185802563
gbm,41,0.90244,1.7787381944889378
mlp,41,0.902695,1.8551653317744132
constant,42,0.897195,2.931905233373432
ridge,42,0.901925,2.2043547031425055
rf,42,0.88518,1.7066932565857753
gbm,42,0.89319,1.7322140023330252
mlp,42,0.91124,1.9043796809259255
constant,43,0.917105,3.083342066626374
ridge,43,0.910025,2.255753040326961
rf,43,0.90187,1.7901097089576885
gbm,43,0.901735,1.7753306967745859
mlp,43,0.91118,1.9038549192721828
constant,44,0.88977,2.882966223416963
ridge,44,0.890535,2.136605986345873
rf,44,0.890145,1.730732342853715
gbm,44,0.889955,1.7157554710806189
mlp,44,0.891075,1.7914540617332306
constant,45,0.916465,3.0775752318222276
ridge,45,0.89756,2.1773898150927753
rf,45,0.905955,1.8131142852206663
gbm,45,0.89996,1.7661491912825444
mlp,45,0.90427,1.8638264350894302
constant,46,0.894445,2.9136645527268348
ridge,46,0.923945,2.3525409738928635
rf,46,0.89444,1.7514868758651205
gbm,46,0.89825,1.7581238838131834
mlp,46,0.889955,1.7857326737662
constant,47,0.920515,3.112042527009743
ridge,47,0.89969,2.1904783541931634
rf,47,0.90785,1.8241983462184042
gbm,47,0.904505,1.7894718468749808
mlp,47,0.89889,1.8341635251112407
constant,48,0.89675,2.9287671024824666
ridge,48,0.9038,2.215238265704359
rf,48,0.90618,1.8147446265302003
gbm,48,0.89756,1.7547388379875488
mlp,48,0.90621,1.8745645051325386
constant,49,0.87665,2.80045640428543
ridge,49,0.895325,2.1640132751422088
rf,49,0.909545,1.8337114800250878
gbm,49,0.903225,1.782793996682117
mlp,49,0.903575,1.8600299993105815
constant,50,0.899975,2.9521685128412676
