model_a,model_b,mean_diff,sd_diff,t_stat,df,p_value,alpha_bonferroni,distinguishable
constant,ridge,0.7599591992773065,0.011645733340708191,145.9178550628765,4,1.3230660757523861e-08,0.005,True
constant,rf,1.1655016945794219,0.02017328341046161,129.18774618609058,4,2.1532403203538864e-08,0.005,True
constant,gbm,1.1773729711105467,0.015900915431683697,165.56820326383644,4,7.982481045479437e-09,0.005,True
constant,mlp,1.1677551955321155,0.07294454227864758,35.79678364851043,4,3.6351231924544764e-06,0.005,True
ridge,rf,0.4055424953021154,0.024658982302349364,36.77445306305374,4,3.264588668027169e-06,0.005,True
ridge,gbm,0.41741377183324024,0.023631359379956227,39.49690551256987,4,2.454964916004808e-06,0.005,True
ridge,mlp,0.407795996254809,0.07079523272203837,12.880239721200093,4,0.00020950865507021955,0.005,True
rf,gbm,0.011871276531124852,0.008857583882429677,2.9968647946929687,4,0.04006567804939021,0.005,False
rf,mlp,0.00225350095269361,0.06804763317526598,0.07405079475145245,4,0.9445252594669109,0.005,False
gbm,mlp,-0.009617775578431242,0.06744488808042717,-0.3188677540700191,4,0.76578340562323,0.005,False
