method,trial,bin,n_bin,coverage,mean_width
abs,0,0,39762,0.9985664704994719,2.0985989125295204
abs,0,1,40146,0.9828874607681961,2.0985989125295204
abs,0,2,40171,0.9102586442956362,2.0985989125295204
abs,0,3,40175,0.8004480398257623,2.0985989125295204
abs,0,4,39746,0.6876918432043476,2.0985989125295204
norm,0,0,39762,0.918313968110256,0.8483330635214501
norm,0,1,40146,0.8704976834553878,1.3102864776568717
norm,0,2,40171,0.8971646212441812,2.05979905020758
norm,0,3,40175,0.8839079029247044,2.633377318179125
norm,0,4,39746,0.8732702661903085,3.3600237949267067
cqr,0,0,39762,0.9131331421960666,0.8779537084300001
cqr,0,1,40146,0.8830020425447118,1.371950870666528
cqr,0,2,40171,0.8936795200517786,2.0050259483021553
cqr,0,3,40175,0.8633478531425015,2.455197518496602
cqr,0,4,39746,0.8573944547879032,3.0103859082391993
abs,1,0,39762,0.9989940143855943,2.2550761451603174
abs,1,1,40146,0.9888158222487919,2.2550761451603174
abs,1,2,40171,0.9316671230489657,2.2550761451603174
abs,1,3,40175,0.8322588674548849,2.2550761451603174
abs,1,4,39746,0.721934282695114,2.255076145160318
norm,1,0,39762,0.9265881997887431,0.8738803196317373
norm,1,1,40146,0.881084043242166,1.3497453006851687
norm,1,2,40171,0.9053048218864355,2.121829184519383
norm,1,3,40175,0.8942874922215308,2.712680563184431
norm,1,4,39746,0.8838373672822423,3.4612097466675595
cqr,1,0,39762,0.9367738041346009,0.9466075124791126
cqr,1,1,40146,0.9008120360683505,1.4406046747156402
cqr,1,2,40171,0.9056533320056758,2.073679752351268
cqr,1,3,40175,0.8747977598008712,2.5238513225457146
cqr,1,4,39746,0.8660242540129824,3.079039712288312
abs,2,0,39762,0.9990946129470348,2.3512522022138294
abs,2,1,40146,0.9916803666616848,2.3512522022138294
abs,2,2,40171,0.9432924248836225,2.3512522022138294
abs,2,3,40175,0.8495332918481643,2.3512522022138294
abs,2,4,39746,0.7428168872339355,2.3512522022138294
norm,2,0,39762,0.9190684573210604,0.8504589903709673
norm,2,1,40146,0.8714442285657351,1.3135700620451152
norm,2,2,40171,0.8978865350626074,2.0649609168066116
norm,2,3,40175,0.8845799626633478,2.63997657475223
norm,2,4,39746,0.8740502188899512,3.3684440311615167
cqr,2,0,39762,0.9401187063024998,0.9569789984276766
cqr,2,1,40146,0.9035520350719872,1.4509761606642042
cqr,2,2,40171,0.9071967339623112,2.084051238299832
cqr,2,3,40175,0.876241443683883,2.534222808494279
cqr,2,4,39746,0.8675338398832587,3.0894111982368764
abs,3,0,39762,0.9987928172627132,2.158597932683748
abs,3,1,40146,0.9852538235440642,2.158597932683748
abs,3,2,40171,0.9196933110950686,2.158597932683748
abs,3,3,40175,0.8126197884256379,2.158597932683748
abs,3,4,39746,0.7021335480299904,2.158597932683748
norm,3,0,39762,0.9280720285699915,0.8791070608243206
norm,3,1,40146,0.8830518607084142,1.3578182246360821
norm,3,2,40171,0.9070473724826368,2.1345199978415397
norm,3,3,40175,0.8961792159303049,2.7289053011987745
norm,3,4,39746,0.8853721129170231,3.481911491692212
cqr,3,0,39762,0.9433881595493184,0.9680787113397352
cqr,3,1,40146,0.9065411248941364,1.4620758735762631
cqr,3,2,40171,0.9086405615991636,2.0951509512118904
cqr,3,3,40175,0.8782576228998134,2.5453225214063377
cqr,3,4,39746,0.8689427866955165,3.1005109111489344
abs,4,0,39762,0.9993461093506363,2.502326149396516
abs,4,1,40146,0.9944950929108753,2.5023261493965165
abs,4,2,40171,0.9574319782927982,2.5023261493965165
abs,4,3,40175,0.8733540759178594,2.502326149396517
abs,4,4,39746,0.7717254566497258,2.5023261493965165
norm,4,0,39762,0.9351390775111916,0.9048348988404002
norm,4,1,40146,0.8923429482389279,1.3975559640940745
norm,4,2,40171,0.9153867217644569,2.196988594891659
norm,4,3,40175,0.9063845675171126,2.808769104686634
norm,4,4,39746,0.8954360187188648,3.583812680792644
cqr,4,0,39762,0.9707509682611538,1.098134103999606
cqr,4,1,40146,0.9329696607383052,1.5921312662361335
cqr,4,2,40171,0.9272858529785168,2.225206343871761
cqr,4,3,40175,0.896502800248911,2.675377914066208
cqr,4,4,39746,0.8843908821013435,3.2305663038088057
abs,5,0,39762,0.9990946129470348,2.3711721851923793
abs,5,1,40146,0.992103821053156,2.3711721851923793
abs,5,2,40171,0.9454083791790098,2.3711721851923793
abs,5,3,40175,0.8523459863098942,2.3711721851923793
abs,5,4,39746,0.7465153726161123,2.3711721851923793
norm,5,0,39762,0.9298073537548414,0.8854929653789986
norm,5,1,40146,0.8850944054202162,1.3676815256736121
norm,5,2,40171,0.9090388588782953,2.1500253231695896
norm,5,3,40175,0.8985438705662726,2.748728289283832
norm,5,4,39746,0.8886932018316308,3.5072043774448685
cqr,5,0,39762,0.9409737940747447,0.9597551698713183
cqr,5,1,40146,0.9042993075275245,1.4537523321078458
cqr,5,2,40171,0.9075203505016056,2.086827409743474
cqr,5,3,40175,0.8768637212196639,2.5369989799379202
cqr,5,4,39746,0.8678105972928093,3.0921873696805178
abs,6,0,39762,0.9989688647452342,2.2393208109126297
abs,6,1,40146,0.988516913266577,2.2393208109126297
abs,6,2,40171,0.9297503173931443,2.2393208109126297
abs,6,3,40175,0.8286994399502178,2.2393208109126297
abs,6,4,39746,0.7185377144869924,2.2393208109126297
norm,6,0,39762,0.9345354861425481,0.9025794389928316
norm,6,1,40146,0.8914960394559857,1.3940723104841348
norm,6,2,40171,0.9146648079460307,2.191512215092765
norm,6,3,40175,0.9056627255756067,2.801767754556538
norm,6,4,39746,0.8947063855482312,3.574879398474406
cqr,6,0,39762,0.950354609929078,0.9925324709129901
cqr,6,1,40146,0.9119214865740048,1.4865296331495175
cqr,6,2,40171,0.9124741729108063,2.1196047107851457
cqr,6,3,40175,0.8817174859987554,2.569776280979592
cqr,6,4,39746,0.8715342424394907,3.1249646707221896
abs,7,0,39762,0.9990694633066747,2.2876563706938375
abs,7,1,40146,0.9899865490958003,2.2876563706938375
abs,7,2,40171,0.9358492444798486,2.2876563706938375
abs,7,3,40175,0.8383571873055383,2.2876563706938375
abs,7,4,39746,0.7288028984048709,2.287656370693837
norm,7,0,39762,0.9196720486897038,0.8520180015855818
norm,7,1,40146,0.8720918646938673,1.3159780211367313
norm,7,2,40171,0.8985586617211421,2.068746281255094
norm,7,3,40175,0.885326695706285,2.6448160239590206
norm,7,4,39746,0.8748553313540985,3.3746188639045887
cqr,7,0,39762,0.9429103163824757,0.9662828433449809
cqr,7,1,40146,0.9060429432571115,1.4602800055815084
cqr,7,2,40171,0.908416519379652,2.0933550832171366
cqr,7,3,40175,0.8779589296826384,2.543526653411583
cqr,7,4,39746,0.8688169878729936,3.0987150431541806
abs,8,0,39762,0.9991700618681153,2.4126033651707313
abs,8,1,40146,0.9930005479998008,2.412603365170731
abs,8,2,40171,0.9488685867914665,2.412603365170731
abs,8,3,40175,0.8592657125077785,2.412603365170731
abs,8,4,39746,0.7545664972575856,2.412603365170731
norm,8,0,39762,0.9374025451436044,0.9153306221067421
norm,8,1,40146,0.8956060379614408,1.413767054832457
norm,8,2,40171,0.9189713972766423,2.2224727847044567
norm,8,3,40175,0.9100435594275047,2.841349703953552
norm,8,4,39746,0.8994364212750968,3.625383475845102
cqr,8,0,39762,0.929228912026558,0.9223653189569142
cqr,8,1,40146,0.8944602201962836,1.4163624811934417
cqr,8,2,40171,0.9014214234149013,2.0494375588290694
cqr,8,3,40175,0.8707405102675794,2.4996091290235163
cqr,8,4,39746,0.863130881094953,3.054797518766114
abs,9,0,39762,0.9990946129470348,2.353041790357202
abs,9,1,40146,0.9917301848253873,2.353041790357202
abs,9,2,40171,0.9435413606830798,2.353041790357202
abs,9,3,40175,0.8497573117610454,2.3530417903572016
abs,9,4,39746,0.7432194434660092,2.353041790357202
norm,9,0,39762,0.9386348775212514,0.9226452655311816
norm,9,1,40146,0.89839585512878,1.4250648325332818
norm,9,2,40171,0.9211122451519753,2.2402331387754457
norm,9,3,40175,0.9124331051649035,2.864055663337629
norm,9,4,39746,0.9017511196095205,3.654354851610535
cqr,9,0,39762,0.9502288617272773,0.99166737195143
cqr,9,1,40146,0.9116723957554924,1.4856645341879575
cqr,9,2,40171,0.9122999178511861,2.1187396118235853
cqr,9,3,40175,0.8814187927815806,2.568911182018032
cqr,9,4,39746,0.8714587631459769,3.1240995717606297
abs,10,0,39762,0.9990694633066747,2.3055695024296163
abs,10,1,40146,0.9906590943057839,2.3055695024296163
abs,10,2,40171,0.9378905180353987,2.3055695024296163
abs,10,3,40175,0.8413690105787182,2.3055695024296163
abs,10,4,39746,0.7323252654355156,2.3055695024296163
norm,10,0,39762,0.9303103465620441,0.8870749900084594
norm,10,1,40146,0.8857171324664973,1.370125029962715
norm,10,2,40171,0.9095118368972642,2.1538665654472884
norm,10,3,40175,0.8992906036092098,2.753639176239869
norm,10,4,39746,0.8891963971217229,3.5134703602619037
cqr,10,0,39762,0.9512096977013229,0.9960824336082772
cqr,10,1,40146,0.9126438499476909,1.4900795958448048
cqr,10,2,40171,0.9132707674690698,2.1231546734804323
cqr,10,3,40175,0.8821406347230865,2.573326243674879
cqr,10,4,39746,0.8719871182005736,3.1285146334174763
abs,11,0,39762,0.9991449122277551,2.3947764750931775
abs,11,1,40146,0.9926269117720321,2.3947764750931775
abs,11,2,40171,0.9473998655746683,2.3947764750931775
abs,11,3,40175,0.8564779091474798,2.394776475093177
abs,11,4,39746,0.7514215266945101,2.3947764750931775
norm,11,0,39762,0.926940294753785,0.8746595378062008
norm,11,1,40146,0.8813580431425297,1.3509488362787314
norm,11,2,40171,0.9057031191655672,2.1237211688409676
norm,11,3,40175,0.8945861854387057,2.7150993955449514
norm,11,4,39746,0.8840638051627837,3.4642960245933176
cqr,11,0,39762,0.9441677984004829,0.9704356568354514
cqr,11,1,40146,0.9071638519404175,1.464432819071979
cqr,11,2,40171,0.9090886460381867,2.0975078967076066
cqr,11,3,40175,0.8784069695084007,2.547679466902054
cqr,11,4,39746,0.8692195441050672,3.1028678566446506
abs,12,0,39762,0.999295810069916,2.46286800380134
abs,12,1,40146,0.9939969112738505,2.46286800380134
abs,12,2,40171,0.9538970899405044,2.46286800380134
abs,12,3,40175,0.8678531425015557,2.46286800380134
abs,12,4,39746,0.7643284858853722,2.46286800380134
norm,12,0,39762,0.9310899854132086,0.889365237408665
norm,12,1,40146,0.8863896776764808,1.3736624144264555
norm,12,2,40171,0.910457792935202,2.1594274113255594
norm,12,3,40175,0.900261356565028,2.760748513145453
norm,12,4,39746,0.8899763498213656,3.5225414269123254
cqr,12,0,39762,0.9520396358332076,1.0003398215794068
cqr,12,1,40146,0.9137398495491457,1.4943369838159346
cqr,12,2,40171,0.9139677877075503,2.127412061451562
cqr,12,3,40175,0.8826633478531425,2.5775836316460086
cqr,12,4,39746,0.8725909525486841,3.1327720213886066
abs,13,0,39762,0.9990946129470348,2.352273222577903
abs,13,1,40146,0.9916803666616848,2.352273222577903
abs,13,2,40171,0.9434168927833512,2.352273222577903
abs,13,3,40175,0.8496826384567517,2.352273222577903
abs,13,4,39746,0.7430936446434862,2.352273222577903
norm,13,0,39762,0.9246768271213721,0.8679333683433195
norm,13,1,40146,0.8785682259751906,1.3405599816264582
norm,13,2,40171,0.9035622712902343,2.10738966171608
norm,13,3,40175,0.8919477286869943,2.6942201644228545
norm,13,4,39746,0.8811955920092588,3.437655439172566
cqr,13,0,39762,0.9336803983703033,0.9354808364441608
cqr,13,1,40146,0.8978229462462014,1.4294779986806885
cqr,13,2,40171,0.9034626969704513,2.062553076316316
cqr,13,3,40175,0.8729807093963908,2.512724646510763
cqr,13,4,39746,0.864841745081266,3.06791303625336
abs,14,0,39762,0.9990443136663145,2.27614252387382
abs,14,1,40146,0.9896876401135855,2.27614252387382
abs,14,2,40171,0.9346294590625078,2.27614252387382
abs,14,3,40175,0.8361667703795893,2.27614252387382
abs,14,4,39746,0.7261359633673828,2.27614252387382
norm,14,0,39762,0.9284492731753936,0.8803151912597104
norm,14,1,40146,0.8835500423454391,1.3596842334489019
norm,14,2,40171,0.9073460954419855,2.1374534045780553
norm,14,3,40175,0.8966272557560672,2.732655553809172
norm,14,4,39746,0.8857998289136013,3.4866965780985284
cqr,14,0,39762,0.944897137970927,0.9726588780067116
cqr,14,1,40146,0.9076371244955911,1.4666560402432394
cqr,14,2,40171,0.9094122625774813,2.099731117878867
cqr,14,3,40175,0.8787305538270068,2.5499026880733133
