method,trial,coverage,mean_width,q_hat,ssc_worst,crossing_rate,sigma_clip_rate
abs,0,0.876105,2.09859891252952,1.04929945626476,,,
norm,0,0.888605,2.042109036803222,2.069136143435012,0.87225,,5e-05
cqr,0,0.8821,1.9440989549604708,0.017291453457856987,0.8714153561517114,0.0,
abs,1,0.894875,2.255076145160317,1.127538072580159,,,
norm,1,0.898195,2.103606442494076,2.131447461072403,0.882175,,5e-05
cqr,1,0.896795,2.012752759009583,0.051618355482413225,0.8813089018323625,0.0,
abs,2,0.905425,2.351252202213829,1.1756261011069151,,,
norm,2,0.88938,2.047226572141242,2.074321408835815,0.873125,,5e-05
cqr,2,0.89891,2.0231242449581472,0.05680409845669532,0.8827837912156589,0.0,
abs,3,0.883835,2.158597932683748,1.0792989663418742,,,
norm,3,0.89992,2.1161882642824437,2.144195802000036,0.88425,,5e-05
cqr,3,0.901135,2.034223957870206,0.06235395491272455,0.8840086993475489,0.0,
abs,4,0.91941,2.5023261493965165,1.2511630746982583,,,
norm,4,0.908915,2.178120367095877,2.2069475699324737,0.893325,,5e-05
cqr,4,0.92236,2.1642793505300766,0.12738165124265988,0.8978326625503087,0.0,
abs,5,0.907235,2.371172185192379,1.18558609259619,,,
norm,5,0.90221,2.131560426420199,2.159771413149461,0.88635,,5e-05
cqr,5,0.899475,2.025900416401789,0.058192184178516015,0.8830587705922056,0.0,
abs,6,0.893035,2.2393208109126306,1.1196604054563146,,,
norm,6,0.90819,2.172691019667466,2.2014463656397885,0.89255,,5e-05
cqr,6,0.90558,2.058677717443461,0.074580834699352,0.8864085193610479,0.0,
abs,7,0.898555,2.287656370693838,1.1438281853469183,,,
norm,7,0.890075,2.050979427036025,2.078123932385692,0.8739,,5e-05
cqr,7,0.90081,2.032428089875452,0.06145602091534741,0.8839087068469865,0.0,
abs,8,0.911115,2.4126033651707313,1.206301682585365,,,
norm,8,0.91227,2.2033856930057416,2.2325472798762678,0.896425,,5e-05
cqr,8,0.89178,1.9885105654873845,0.039497258721314044,0.8786091043171762,0.0,
abs,9,0.90561,2.3530417903572025,1.1765208951786006,,,
norm,9,0.914445,2.22099351719691,2.250388141840343,0.899125,,5e-05
cqr,9,0.905395,2.0578126184819006,0.07414828521857197,0.8863085268604854,0.0,
abs,10,0.900405,2.3055695024296177,1.1527847512148082,,,
norm,10,0.90278,2.1353686792529443,2.163630067823409,0.886775,,5e-05
cqr,10,0.90623,2.062227680138748,0.07635581604699548,0.8868334874884384,0.0,
abs,11,0.909555,2.394776475093179,1.1973882375465887,,,
norm,11,0.898505,2.105482178032555,2.1333480217810843,0.8826,,5e-05
cqr,11,0.90159,2.0365809033659223,0.06353242766058267,0.8842336824738145,0.0,
abs,12,0.916015,2.46286800380134,1.23143400190067,,,
norm,12,0.90361,2.140881767347214,2.169216121081197,0.887675,,5e-05
cqr,12,0.90698,2.066485068109878,0.07848451003256035,0.8873084518661101,0.0,
abs,13,0.905535,2.3522732225779044,1.1761366112889515,,,
