method,bin,n_bin,coverage_mean,se_trial,se_test,ci_lo,ci_hi,width_mean,gap,worst_bin_coverage,width_ratio,spearman_bin_width
abs,0,39762,0.9990515064634576,6.427445031927678e-06,0.00015437501645598902,0.9987486692885381,0.9993543436383772,2.310334694151873,0.26559556121110517,0.7334559452523525,1.0,
abs,1,40146,0.9902753449907836,0.00012189808193268765,0.0004897719905774011,0.9892861064763175,0.9912645835052497,2.310334694151873,0.26559556121110517,0.7334559452523525,1.0,
abs,2,40171,0.9377898483980981,0.000482722914210066,0.0012051110591339855,0.9352453833153657,0.9403343134808305,2.310334694151873,0.26559556121110517,0.7334559452523525,1.0,
abs,3,40175,0.8413448164281271,0.0007585570300474939,0.0018227881724938316,0.8374751363089291,0.8452144965473251,2.310334694151873,0.26559556121110517,0.7334559452523525,1.0,
abs,4,39746,0.7334559452523525,0.000875688098105442,0.0022178123755547618,0.7287824563065024,0.7381294341982025,2.310334694151873,0.26559556121110517,0.7334559452523525,1.0,
norm,0,39762,0.9282691011518537,0.0003288969017912687,0.0012940646485732352,0.9256520963464918,0.9308861059572155,0.8815542079335776,0.044928444548456015,0.8833406566033977,3.9607365778945005,0.9999999999999999
norm,1,40146,0.8833406566033977,0.00043684761119291277,0.0016021483748414572,0.8800858080806576,0.8865955051261377,1.361597947369965,0.044928444548456015,0.8833406566033977,3.9607365778945005,0.9999999999999999
norm,2,40171,0.9078439172537403,0.0003762897364179312,0.0014431493415043887,0.9049207732355924,0.9107670612718881,2.140461804789912,0.044928444548456015,0.8833406566033977,3.9607365778945005,0.9999999999999999
norm,3,40175,0.8969862850031113,0.0004553071240499479,0.0015165700789828913,0.8938827381791291,0.9000898318270935,2.7365016828192372,0.044928444548456015,0.8833406566033977,3.9607365778945005,0.9999999999999999
norm,4,39746,0.8864015498414936,0.00045253806091697263,0.001591676273251213,0.8831582241515172,0.8896448755314699,3.491603996759335,0.044928444548456015,0.8833406566033977,3.9607365778945005,0.9999999999999999
cqr,0,39762,0.9430874201498919,0.0006328475992276587,0.001161839136969912,0.9404943125470439,0.9456805277527399,0.9719207587684432,0.07397933380158017,0.8691080863483117,3.1940391544998827,0.9999999999999999
cqr,1,40146,0.9065531808897523,0.0005435971018718039,0.001452639215768242,0.9035131845583484,0.9095931772211563,1.4659179210049709,0.07397933380158017,0.8691080863483117,3.1940391544998827,0.9999999999999999
cqr,2,40171,0.9090829205147993,0.00035281503052606543,0.0014343930291951502,0.9061877133578773,0.9119781276717214,2.0989929986405986,0.07397933380158017,0.8691080863483117,3.1940391544998827,0.9999999999999999
cqr,3,40175,0.8783628624766646,0.00034746682217796134,0.0016307678302576445,0.8750948089354065,0.8816309160179228,2.5491645688350455,0.07397933380158017,0.8691080863483117,3.1940391544998827,0.9999999999999999
cqr,4,39746,0.8691080863483117,0.00027346502395447775,0.0016917905308664169,0.8657491367731038,0.8724670359235196,3.1043529585776426,0.07397933380158017,0.8691080863483117,3.1940391544998827,0.9999999999999999
